"""","和歌山地裁管内 簡裁総数_新 受(件)","和歌山地裁管内 簡裁総数_既 済(件)","和歌山地裁管内 簡裁総数_未 済(件)","和歌山 簡易裁判所_新 受(件)","和歌山 簡易裁判所_既 済(件)","和歌山 簡易裁判所_未 済(件)","湯浅 簡易裁判所_新 受(件)","湯浅 簡易裁判所_既 済(件)","湯浅 簡易裁判所_未 済(件)","妙寺 簡易裁判所_新 受(件)","妙寺 簡易裁判所_既 済(件)","妙寺 簡易裁判所_未 済(件)","橋本 簡易裁判所_新 受(件)","橋本 簡易裁判所_既 済(件)","橋本 簡易裁判所_未 済(件)","田辺 簡易裁判所_新 受(件)","田辺 簡易裁判所_既 済(件)","田辺 簡易裁判所_未 済(件)"
"平成22年　(2010年）)","6122.0","6407.0","771.0","3672.0","3858.0","498.0","347.0","364.0","27.0","304.0","323.0","22.0","199.0","205.0","22.0","780.0","819.0","102.0"
"平成23年　(2011年）)","5490.0","5661.0","600.0","3274.0","3356.0","416.0","304.0","307.0","24.0","278.0","257.0","43.0","236.0","241.0","17.0","720.0","771.0","51.0"
"平成24年　(2012年）)","4613.0","4751.0","462.0","2880.0","2996.0","300.0","258.0","264.0","18.0","164.0","196.0","11.0","188.0","182.0","23.0","613.0","604.0","60.0"
"平成25年　(2013年）)","4043.0","4081.0","424.0","2557.0","2573.0","284.0","216.0","215.0","19.0","174.0","169.0","16.0","179.0","181.0","21.0","441.0","455.0","46.0"
"平成26年　(2014年）)","3364.0","3390.0","398.0","2129.0","2153.0","260.0","184.0","186.0","17.0","159.0","157.0","18.0","151.0","158.0","14.0","385.0","375.0","56.0"
"","","","","","","","","","","","","","","","","","",""
"民事事件総数","3364.0","3390.0","398.0","2129.0","2153.0","260.0","184.0","186.0","17.0","159.0","157.0","18.0","151.0","158.0","14.0","385.0","375.0","56.0"
"　通常訴訟","957.0","950.0","298.0","592.0","588.0","192.0","53.0","55.0","13.0","47.0","50.0","10.0","45.0","53.0","11.0","127.0","112.0","43.0"
"　手形・小切手訴訟","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　少額訴訟","41.0","34.0","8.0","21.0","15.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","11.0","10.0","1.0"
"　少額訴訟判決に対する異議申立て","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"　再審（訴訟）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　控訴提起","30.0","32.0","0.0","13.0","14.0","0.0","2.0","2.0","0.0","3.0","3.0","0.0","2.0","2.0","0.0","7.0","8.0","0.0"
"　少額異議判決に対する特別上告提起","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　少額債権執行","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"　飛躍上告提起","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　再審（抗告）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　抗告提起","4.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"　借地非訟","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　和解","16.0","16.0","1.0","11.0","10.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","1.0","2.0","0.0"
"　督促","967.0","960.0","12.0","580.0","578.0","6.0","58.0","58.0","0.0","47.0","45.0","3.0","51.0","51.0","0.0","122.0","119.0","3.0"
"　公示催告","4.0","4.0","2.0","4.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　保全命令","20.0","20.0","0.0","14.0","14.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0"
"　　　（うち仮処分）","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0"
"　過料","539.0","564.0","5.0","443.0","468.0","3.0","19.0","17.0","2.0","13.0","13.0","0.0","1.0","2.0","0.0","17.0","17.0","0.0"
"　共助","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"　雑","550.0","549.0","10.0","313.0","313.0","7.0","33.0","33.0","0.0","37.0","36.0","1.0","35.0","34.0","1.0","70.0","69.0","1.0"
"　調停総数","231.0","255.0","58.0","135.0","147.0","41.0","17.0","19.0","2.0","11.0","10.0","3.0","10.0","9.0","2.0","24.0","33.0","6.0"
"","","","","","","","","","","","","","","","","","",""
"行政事件総数","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"  共助","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"  雑","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
